artist,artist_genre_scrape,artist_lyric_scape,collaboration,song,song_genre_scrape,song_lyric_scrape,year
Drake Featuring Rihanna,drake,drake,1,Too Good,too+good,toogood,2016
Future Featuring The Weeknd,future,future,1,Low Life,low+life,lowlife,2016
Justin Bieber,justin+bieber,justinbieber,0,What Do You Mean?,what+do+you+mean?,whatdoyoumean?,2016
The Weeknd,the+weeknd,theweeknd,0,The Hills,the+hills,thehills,2016
P!nk,p!nk,p!nk,0,Just Like Fire,just+like+fire,justlikefire,2016
D.R.A.M. Featuring Lil Yachty,d.r.a.m.,d.r.a.m.,1,Broccoli,broccoli,broccoli,2016
Bryson Tiller,bryson+tiller,brysontiller,0,Don't,don't,don't,2016
Ariana Grande,ariana+grande,arianagrande,0,Dangerous Woman,dangerous+woman,dangerouswoman,2016
Drake & Future,drake,drake,1,Jumpman,jumpman,jumpman,2016
gnash Featuring Olivia O'Brien,gnash,gnash,1,I Hate U I Love U,i+hate+u+i+love+u,ihateuiloveu,2016
Alessia Cara,alessia+cara,alessiacara,0,Here,here,here,2016
Selena Gomez,selena+gomez,selenagomez,0,Same Old Love,same+old+love,sameoldlove,2016
Drake,drake,drake,0,Controlla,controlla,controlla,2016
Meghan Trainor Featuring John Legend,meghan+trainor,meghantrainor,1,Like I'm Gonna Lose You,like+i'm+gonna+lose+you,likei'mgonnaloseyou,2016
Charlie Puth,charlie+puth,charlieputh,0,One Call Away,one+call+away,onecallaway,2016
James Bay,james+bay,jamesbay,0,Let It Go,let+it+go,letitgo,2016
Meghan Trainor,meghan+trainor,meghantrainor,0,No,no,no,2016
Zara Larsson & MNEK,zara+larsson,zaralarsson,1,Never Forget You,never+forget+you,neverforgetyou,2016
DJ Snake Featuring Justin Bieber,dj+snake,djsnake,1,Let Me Love You,let+me+love+you,letmeloveyou,2016
Kent Jones,kent+jones,kentjones,0,Don't Mind,don't+mind,don'tmind,2016
Florida Georgia Line,florida+georgia+line,floridageorgialine,0,H.O.L.Y.,h.o.l.y.,h.o.l.y.,2016
Charlie Puth Featuring Selena Gomez,charlie+puth,charlieputh,1,We Don't Talk Anymore,we+don't+talk+anymore,wedon'ttalkanymore,2016
Ariana Grande,ariana+grande,arianagrande,0,Into You,into+you,intoyou,2016
Kiiara,kiiara,kiiara,0,Gold,gold,gold,2016
Bryson Tiller,bryson+tiller,brysontiller,0,Exchange,exchange,exchange,2016
Fetty Wap Featuring Remy Boyz,fetty+wap,fettywap,1,679,679,679,2016
Jeremih,jeremih,jeremih,0,Oui,oui,oui,2016
Selena Gomez,selena+gomez,selenagomez,0,Hands To Myself,hands+to+myself,handstomyself,2016
Kevin Gates,kevin+gates,kevingates,0,2 Phones,2+phones,2phones,2016
The Weeknd Featuring Daft Punk,the+weeknd,theweeknd,1,Starboy,starboy,starboy,2016
DJ Khaled Featuring Drake,dj+khaled,djkhaled,1,For Free,for+free,forfree,2016
